排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
668,钻石王牌 第二季,TV,51,2015-04-06,増原光幸,藤咲淳一、川野麻美、古怒田健志、谷村大四郎,逢坂良太、櫻井孝宏、島﨑信長、花江夏樹、浅沼晋太郎、細谷佳正、小野友樹、浪川大輔、森田成一、岡本信彦、羽多野渉、代永翼、下野紘、東地宏樹、杉田智和、内山昂輝、福山潤、加地綾乃、石川界人、山下大輝、松岡禎丞、蒼井翔太、田尻浩章、下妻由幸、寺島惇太、村田太志、竹内栄治、内山夕実、大川透、遠藤ゆりか、山口立花子、花守ゆみり、高橋花林、寺島惇太、河西健吾、河西健吾、寺島惇太、鈴木裕斗、鈴木裕斗、川口翔、加藤亮夫、木村良平、鈴木裕斗、鳥海浩輔、仲野裕、梶裕貴、KENN、保志総一朗、川口翔、羽多野渉、山谷祥生、前野智昭、西凜太朗、小野賢章、武内駿輔、内田雄馬、石田彰、代永翼、阿部敦、鈴木達央、金本涼輔、神谷浩史、伊藤和晃、江口拓也、森久保祥太郎、鈴村健一、木島隆一、木村昴、三宅貴大、竹内栄治、土岐隼一、石谷春貴、三宅貴大、木島隆一、梶川翔平、三宅貴大、梶川翔平、須藤翔、中田譲治、木島隆一、鈴木裕斗、三宅貴大、石谷春貴、川口翔、寺島惇太、下妻由幸、木島隆一、寺島惇太、木島隆一、石谷春貴、岡本信彦、下妻由幸、斉藤壮馬、後藤哲夫、豊永利行、中村大志、増田俊樹、木島隆一、羽多野渉、三宅貴大、稲田徹、松本忍、優希知冴、吉田孝,7.7,836,https://lain.bgm.tv/r/400/pic/cover/l/1c/90/129844_NwzEg.jpg,https://bangumi.tv/subject/129844
669,夏目友人帐 曾几何时下雪之日,OVA,1,2014-02-05,出合小都美,吉永亜矢,神谷浩史、井上和彦、伊藤美紀、伊藤栄次、加藤奈々絵、雨蘭咲木子,7.6,2098,https://lain.bgm.tv/r/400/pic/cover/l/99/54/84501_erR4F.jpg,https://bangumi.tv/subject/84501
670,飞出个未来 第4季,TV,18,2002-02-10,未知,,,7.9,120,https://lain.bgm.tv/r/400/pic/cover/l/8f/b3/84756_5GQ9r.jpg,https://bangumi.tv/subject/84756
671,甲贺忍法帖,TV,24,2005-04-12,木﨑文智,岡田麿里、むとうやすゆき、山田靖智,鳥海浩輔、吳文民、水樹奈々、傅其慧、早水リサ、傅其慧、宮林康、北川勝博、陳幼文、伊丸岡篤、羽多野渉、小林清志、孫德成、陳幼文、羽多野渉、陳幼文、沢城みゆき、姚敏敏、青野武、孫中台、沢城みゆき、京田尚子、傅其慧、立木文彦、千々和竜策、平勝伊、陳幼文、上田燿司、孫德成、木村はるか、矢薙直樹、吳文民、速水奨、李香生、魚建、陳幼文、内海賢二、渡辺美佐、姚敏敏,7.6,2332,https://lain.bgm.tv/r/400/pic/cover/l/49/cb/3916_XFn1S.jpg,https://bangumi.tv/subject/3916
672,南方公园 第12季,TV,14,2008-03-12,未知,Trey Parker,Trey Parker、Matt Stone、Mona Marshall,7.8,193,https://lain.bgm.tv/r/400/pic/cover/l/ed/45/50323_4e47d.jpg,https://bangumi.tv/subject/50323
673,重金属摇滚双面人,OVA,12,2008-08-08,長濵博史,,うえだゆうじ、岸尾だいすけ、長澤まさみ、保村真、中野裕斗、小林愛、松山鷹志,7.6,971,https://lain.bgm.tv/r/400/pic/cover/l/93/1a/2108_09A0Z.jpg,https://bangumi.tv/subject/2108
674,RWBY Volume 1-3: The Beginning,TV,13,2017-07-07,未知,,早見沙織、日笠陽子、嶋村侑、小清水亜美、斉藤壮馬、洲崎綾、豊口めぐみ、下野紘、三木眞一郎,7.6,887,https://lain.bgm.tv/r/400/pic/cover/l/ff/20/212008_U1uuU.jpg,https://bangumi.tv/subject/212008
675,起风了,剧场版,1,2013-07-20,宮崎駿,宮崎駿,庵野秀明、鏑木海智、黃珽筠、劉傑、飯野茉優、瀧本美織、馬君珮、信太真妃、志田未来、林美秀、竹下景子、鄭仁麗、西島秀俊、宋克軍、西村雅彦、孫中台、風間杜夫、徐健春、野村萬斎、陳宗岳、Steve Alpert、國村隼、康殿宏、大竹しのぶ、楊凱凱,7.6,5056,https://lain.bgm.tv/r/400/pic/cover/l/a0/2a/56846_9P9zW.jpg,https://bangumi.tv/subject/56846
676,向阳素描×365 特别篇,OVA,2,2009-10-17,新房昭之,与口奈津江、長谷川菜穂子,阿澄佳奈、水橋かおり、後藤邑子、新谷良子、松来未祐、チョー、沢城みゆき、福圓美里、蒼樹うめ,7.6,975,https://lain.bgm.tv/r/400/pic/cover/l/98/b4/2662_eLO2c.jpg,https://bangumi.tv/subject/2662
677,南家三姐妹,TV,13,2007-10-07,太田雅彦,鴻野貴光、あおしまたかし、杉原研二、子安秀明,佐藤利奈、井上麻里奈、茅原実里、水樹奈々、柿原徹也、後藤沙緒里、高梁碧、森永理科、大原桃子、浅沼晋太郎、豊崎愛生、喜多村英梨、高木礼子、小野涼子、千葉紗子、小野大輔、千葉紗子、大原桃子、川田紳司、吉野裕行、葉山達也、大原桃子、浅沼晋太郎、小野涼子,7.6,6890,https://lain.bgm.tv/r/400/pic/cover/l/0f/49/283_qtWfz.jpg,https://bangumi.tv/subject/283
